Time,Value
89.2,52.81686187
89.3,52.72983313
89.4,52.64329612
89.5,52.55467594
89.6,52.46988237
89.7,52.38002837
89.8,52.29237378
89.9,52.20156312
90,52.11215615
90.1,52.02367008
90.2,51.9344151
90.3,51.8432647
90.4,51.75032616
90.5,51.65582299
90.6,51.56354606
90.7,51.47313774
90.8,51.37808025
90.9,51.28283501
91,51.18555129
91.1,51.09265745
91.2,50.99644661
91.3,50.9000659
91.4,50.80237091
91.5,50.70415735
91.6,50.60605109
91.7,50.50958097
91.8,50.41051805
91.9,50.30745864
92,50.20671487
92.1,50.10432601
92.2,50.00537038
92.3,49.9045372
92.4,49.80313182
92.5,49.69780147
92.6,49.59332049
92.7,49.48964417
92.8,49.38715696
92.9,49.28315878
93,49.17453825
93.1,49.06817973
93.2,48.96120429
93.3,48.8548547
93.4,48.74619842
93.5,48.63868654
93.6,48.52957428
93.7,48.42009544
93.8,48.31116199
93.9,48.20134342
94,48.09085429
94.1,47.97770977
94.2,47.86623716
94.3,47.75499701
94.4,47.64514267
94.5,47.53161371
94.6,47.41577804
94.7,47.29956686
94.8,47.18590379
94.9,47.07266986
95,46.95858657
95.1,46.84211612
95.2,46.7220962
95.3,46.60523236
95.4,46.48752809
95.5,46.36949301
95.6,46.2513864
95.7,46.13055289
95.8,46.0118562
95.9,45.89272141
96,45.77244222
96.1,45.65058053
96.2,45.52635849
96.3,45.40421963
96.4,45.28293014
96.5,45.16204298
96.6,45.03930509
96.7,44.91334856
96.8,44.7884649
96.9,44.662866
97,44.53923404
97.1,44.41393912
97.2,44.28708851
97.3,44.15891469
97.4,44.03128624
97.5,43.90479326
97.6,43.77661943
97.7,43.64798069
97.8,43.51742864
97.9,43.38550866
98,43.25653017
98.1,43.12819541
98.2,42.99791157
98.3,42.86459684
98.4,42.73179173
98.5,42.59890616
98.6,42.46638715
98.7,42.33465493
98.8,42.20010638
98.9,42.06515551
99,41.93084836
99.1,41.79730117
99.2,41.66168869
99.3,41.52436852
99.4,41.3874507
99.5,41.24987125
99.6,41.11504555
99.7,40.97783267
99.8,40.8389926
99.9,40.70005417
100,40.56054354
100.1,40.42285681
100.2,40.28377533
100.3,40.14215469
100.4,40.00075758
100.5,39.8586899
100.6,39.7172302
100.7,39.57654834
100.8,39.43376541
100.9,39.28930163
101,39.14445341
101.1,39.00255561
101.2,38.85855675
101.3,38.7159884
101.4,38.56968284
101.5,38.42555881
101.6,38.27826977
101.7,38.13388646
101.8,37.98792064
101.9,37.84127533
102,37.69217134
102.1,37.54376471
102.2,37.39517927
102.3,37.24859655
102.4,37.09978759
102.5,36.95054948
102.6,36.79948747
102.7,36.65042818
102.8,36.50013506
102.9,36.34898365
103,36.19442582
103.1,36.04401648
103.2,35.89403629
103.3,35.74080169
103.4,35.5871737
103.5,35.43248177
103.6,35.27953327
103.7,35.12680829
103.8,34.97354686
103.9,34.81851518
104,34.66424346
104.1,34.50807631
104.2,34.35224891
104.3,34.19558108
104.4,34.04086232
104.5,33.88364911
104.6,33.72579217
104.7,33.56765807
104.8,33.41161609
104.9,33.25372338
105,33.09343457
105.1,32.93366432
105.2,32.77448416
105.3,32.61661828
105.4,32.45643675
105.5,32.29680955
105.6,32.13369548
105.7,31.97113574
105.8,31.80985451
105.9,31.64877892
106,31.48802519
106.1,31.32493794
106.2,31.16191328
106.3,31.0000062
106.4,30.83812594
106.5,30.67507446
106.6,30.51119149
106.7,30.34502864
106.8,30.18144071
106.9,30.01619875
107,29.85041142
107.1,29.68470454
107.2,29.518345
107.3,29.35136855
107.4,29.18696702
107.5,29.02118862
107.6,28.85473967
107.7,28.68425846
107.8,28.51671875
107.9,28.35032344
108,28.18332016
108.1,28.01514566
108.2,27.84312665
108.3,27.67316401
108.4,27.50566006
108.5,27.33730674
108.6,27.1676749
108.7,26.99507475
108.8,26.82411969
108.9,26.65216327
109,26.4836669
109.1,26.31134391
109.2,26.13921762
109.3,25.96651912
109.4,25.79360604
109.5,25.62241852
109.6,25.45129359
109.7,25.27610958
109.8,25.10087192
109.9,24.92714524
110,24.75400865
110.1,24.58113134
110.2,24.40575957
110.3,24.23095107
110.4,24.0552038
110.5,23.88026118
110.6,23.70682061
110.7,23.53110015
110.8,23.35582674
110.9,23.17916751
111,23.00234735
111.1,22.82736003
111.2,22.65083492
111.3,22.47400582
111.4,22.29448557
111.5,22.11610079
111.6,21.93793058
111.7,21.7628628
111.8,21.58322632
111.9,21.40338421
112,21.22439146
112.1,21.04668617
112.2,20.86876631
112.3,20.68820894
112.4,20.50693631
112.5,20.32752335
112.6,20.14818192
112.7,19.96832192
112.8,19.78855133
112.9,19.60735917
113,19.42719519
113.1,19.24583316
113.2,19.06448007
113.3,18.88470054
113.4,18.70318651
113.5,18.51802468
113.6,18.33696663
113.7,18.15710664
113.8,17.97578931
113.9,17.79182553
114,17.60761142
114.1,17.42325425
114.2,17.24123061
114.3,17.05996692
114.4,16.87761247
114.5,16.69266522
114.6,16.50848687
114.7,16.32552445
114.8,16.14000499
114.9,15.95555842
115,15.77001214
115.1,15.58599472
115.2,15.4019773
115.3,15.21845162
115.4,15.03347754
115.5,14.84811902
115.6,14.66004252
115.7,14.47518468
115.8,14.28978145
115.9,14.10520077
116,13.91836703
116.1,13.73097003
116.2,13.54500353
116.3,13.36060166
116.4,13.17516267
116.5,12.9878372
116.6,12.79978752
116.7,12.61294484
116.8,12.42629886
116.9,12.2397244
117,12.05230057
117.1,11.86514497
117.2,11.67676449
117.3,11.48981452
117.4,11.3039732
117.5,11.1155659
117.6,10.92889309
117.7,10.73911786
117.8,10.55039763
117.9,10.36258936
118,10.17451286
118.1,9.984129667
118.2,9.795507789
118.3,9.606778622
118.4,9.419497848
118.5,9.233674407
118.6,9.04404223
118.7,8.853301406
118.8,8.663901687
118.9,8.476415277
119,8.289295435
119.1,8.100789785
119.2,7.911559939
119.3,7.720282674
119.4,7.530525327
119.5,7.340803742
119.6,7.152029872
119.7,6.961289048
119.8,6.769260764
119.9,6.577983499
120,6.390282512
120.1,6.200793386
120.2,6.011778116
120.3,5.820760131
120.4,5.630868673
120.5,5.440744758
120.6,5.249744654
120.7,5.059450865
120.8,4.868727922
